[ Info: 48_33: File for first layer exists [6], 17782794101; loading ...
[ Info: 48_33: layer 2/3, base field no. 111/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 112/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 112/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 113/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 113/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 114/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 114/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 115/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 115/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 116/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 116/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 117/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 117/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 118/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 118/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 119/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 119/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 120/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 120/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 121/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 121/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 122/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 122/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 123/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 123/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 124/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 124/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 125/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 125/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 126/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 126/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 127/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 127/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 128/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 128/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 129/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 129/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 130/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 130/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 131/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 131/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 132/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 132/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 133/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 133/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 134/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 134/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 135/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 135/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 136/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 136/241, checking fields: 0
