[ Info: 88_4: File for first layer exists [2, 4], 18738174228604; loading ...
[ Info: 88_4: layer 2/2, base field no. 178/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 179/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 179/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 180/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 180/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 181/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 181/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 182/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 182/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 183/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 183/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 184/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 184/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 185/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 185/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 186/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 186/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 187/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 187/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 188/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 188/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 189/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 189/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 190/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 190/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 191/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 191/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 192/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 192/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 193/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 193/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 194/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 194/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 195/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 195/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 196/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 196/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 197/264, constructing abelian extensions
