[ Info: File for first layer exists [2, 4], 10000000000000000; loading ...
[ Info: layer 2/2, base field no. 7/1213, 65/65
[ Info: Processing fields in layer 2/2
[ Info: layer 2/2, base field no. 8/1213, 1/49
[ Info: layer 2/2, base field no. 8/1213, 2/49
[ Info: layer 2/2, base field no. 8/1213, 3/49
[ Info: layer 2/2, base field no. 8/1213, 4/49
[ Info: layer 2/2, base field no. 8/1213, 5/49
[ Info: layer 2/2, base field no. 8/1213, 6/49
[ Info: layer 2/2, base field no. 8/1213, 7/49
[ Info: layer 2/2, base field no. 8/1213, 8/49
[ Info: layer 2/2, base field no. 8/1213, 9/49
[ Info: layer 2/2, base field no. 8/1213, 10/49
[ Info: layer 2/2, base field no. 8/1213, 11/49
[ Info: layer 2/2, base field no. 8/1213, 12/49
[ Info: layer 2/2, base field no. 8/1213, 13/49
[ Info: layer 2/2, base field no. 8/1213, 14/49
[ Info: layer 2/2, base field no. 8/1213, 15/49
[ Info: layer 2/2, base field no. 8/1213, 16/49
[ Info: layer 2/2, base field no. 8/1213, 17/49
[ Info: layer 2/2, base field no. 8/1213, 18/49
[ Info: layer 2/2, base field no. 8/1213, 19/49
[ Info: layer 2/2, base field no. 8/1213, 20/49
[ Info: layer 2/2, base field no. 8/1213, 21/49
[ Info: layer 2/2, base field no. 8/1213, 22/49
[ Info: layer 2/2, base field no. 8/1213, 23/49
[ Info: layer 2/2, base field no. 8/1213, 24/49
[ Info: layer 2/2, base field no. 8/1213, 25/49
[ Info: layer 2/2, base field no. 8/1213, 26/49
[ Info: layer 2/2, base field no. 8/1213, 27/49
[ Info: layer 2/2, base field no. 8/1213, 28/49
[ Info: layer 2/2, base field no. 8/1213, 29/49
[ Info: layer 2/2, base field no. 8/1213, 30/49
[ Info: layer 2/2, base field no. 8/1213, 31/49
[ Info: layer 2/2, base field no. 8/1213, 32/49
[ Info: layer 2/2, base field no. 8/1213, 33/49
[ Info: layer 2/2, base field no. 8/1213, 34/49
[ Info: layer 2/2, base field no. 8/1213, 35/49
[ Info: layer 2/2, base field no. 8/1213, 36/49
[ Info: layer 2/2, base field no. 8/1213, 37/49
[ Info: layer 2/2, base field no. 8/1213, 38/49
[ Info: layer 2/2, base field no. 8/1213, 39/49
[ Info: layer 2/2, base field no. 8/1213, 40/49
[ Info: layer 2/2, base field no. 8/1213, 41/49
[ Info: layer 2/2, base field no. 8/1213, 42/49
[ Info: layer 2/2, base field no. 8/1213, 43/49
[ Info: layer 2/2, base field no. 8/1213, 44/49
[ Info: layer 2/2, base field no. 8/1213, 45/49
[ Info: layer 2/2, base field no. 8/1213, 46/49
[ Info: layer 2/2, base field no. 8/1213, 47/49
[ Info: layer 2/2, base field no. 8/1213, 48/49
[ Info: layer 2/2, base field no. 8/1213, 49/49
[ Info: Processing fields in layer 2/2
[ Info: layer 2/2, base field no. 9/1213, 1/67
[ Info: layer 2/2, base field no. 9/1213, 2/67
[ Info: layer 2/2, base field no. 9/1213, 3/67
[ Info: layer 2/2, base field no. 9/1213, 4/67
[ Info: layer 2/2, base field no. 9/1213, 5/67
[ Info: layer 2/2, base field no. 9/1213, 6/67
[ Info: layer 2/2, base field no. 9/1213, 7/67
[ Info: layer 2/2, base field no. 9/1213, 8/67
[ Info: layer 2/2, base field no. 9/1213, 9/67
[ Info: layer 2/2, base field no. 9/1213, 10/67
[ Info: layer 2/2, base field no. 9/1213, 11/67
[ Info: layer 2/2, base field no. 9/1213, 12/67
[ Info: layer 2/2, base field no. 9/1213, 13/67
[ Info: layer 2/2, base field no. 9/1213, 14/67
[ Info: layer 2/2, base field no. 9/1213, 15/67
[ Info: layer 2/2, base field no. 9/1213, 16/67
[ Info: layer 2/2, base field no. 9/1213, 17/67
[ Info: layer 2/2, base field no. 9/1213, 18/67
[ Info: layer 2/2, base field no. 9/1213, 19/67
[ Info: layer 2/2, base field no. 9/1213, 20/67
[ Info: layer 2/2, base field no. 9/1213, 21/67
[ Info: layer 2/2, base field no. 9/1213, 22/67
[ Info: layer 2/2, base field no. 9/1213, 23/67
[ Info: layer 2/2, base field no. 9/1213, 24/67
[ Info: layer 2/2, base field no. 9/1213, 25/67
[ Info: layer 2/2, base field no. 9/1213, 26/67
[ Info: layer 2/2, base field no. 9/1213, 27/67
[ Info: layer 2/2, base field no. 9/1213, 28/67
[ Info: layer 2/2, base field no. 9/1213, 29/67
[ Info: layer 2/2, base field no. 9/1213, 30/67
[ Info: layer 2/2, base field no. 9/1213, 31/67
[ Info: layer 2/2, base field no. 9/1213, 32/67
